NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
Give me {parabolic differential equation} that starts with {'e'},24737,string matching simple contains word,627,Tell me the name of the parabolic differential equation which starts with the letter e.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1575416 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'e')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1575416>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'e')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Let me know the title of the illustrative differential condition which begins with the letter e.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [parabolic partial differential equation] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'e')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[parabolic partial differential equation] is class of second-order linear partial differential equations', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
Give me {municipality of Spain} that contains the word {zumaia} in their name,23725,string matching simple contains word,3618,What are the municipality of Spain that contains the word zumaia in their name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2074737 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zumaia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2074737>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zumaia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,What is the municipality of Spain which contains in its name the word zumaia,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [municipality of Spain] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zumaia')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[municipality of Spain] is administrative territorial entity of Spain']"
What is the {Wikimedia category} for {category for employees of the organization} of {Columbia University},21242,simple question right,1588,who Wikimedia category for category for employees of the organization of Columbia University?, select distinct ?obj where { wd:Q49088 wdt:P4195 ?obj . ?obj wdt:P31 wd:Q4167836 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q49088> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4195> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q4167836> } , <S P ?O ; ?O instanceOf Type>,who Wikimedia category for category for representatives of the organization of Columbia College?, select distinct ?obj where { [Columbia University] [category for employees of the organization] ?obj . ?obj [instance of] [Wikimedia category] } ,"[""[Wikimedia category] is use with 'instance of' (P31) for Wikimedia category"", '[category for employees of the organization] is Wikimedia category for people who work or worked at this organization', '[Columbia University] is private university in New York City', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
what is the {location} for {Louis VI of France} has {place of death} as {Château de la Douye} ?,4311,statement_property,756,Did Louis VI of France die at the Chateau de la Douye?,SELECT ?value WHERE { wd:Q165883 p:P20 ?s . ?s ps:P20 wd:Q48622322 . ?s pq:P276 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q165883> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P20> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q48622322> .
?statement <http://www.wikidata.org/entity/P276> ?value. 
} 
",(E pred ?Obj ) prop value,Is Chateau de la Douye where Louis VI of France passed?,SELECT ?value WHERE { [Louis VI of France] [place of death] ?s . ?s [place of death] [Château de la Douye] . ?s [location] ?value},"['[place of death] is most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character', '[Château de la Douye] is шато у Франції', '[Louis VI of France] is king of the Franks from 1108 to 1137', '[location] is location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object', '[place of death] is most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character']"
What is the {song} for {tracklist} of {Led Zeppelin IV},22084,simple question right,3145,What songs are on the tracklist of Led Zeppelin IV?, select distinct ?obj where { wd:Q201940 wdt:P658 ?obj . ?obj wdt:P31 wd:Q7366 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q201940> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P658> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q7366> } , <S P ?O ; ?O instanceOf Type>,What melodies are on the tracklist of Led Zeppelin IV?, select distinct ?obj where { [Led Zeppelin IV] [tracklist] ?obj . ?obj [instance of] [song] } ,"['[song] is musical composition for voice(s)', '[Led Zeppelin IV] is 1971 studio album by Led Zeppelin', '[tracklist] is audio tracks contained in this release', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {detail map} of {Europe} that is {media legend} is {topography of Europe} ?,3600,statement_property,45,Which is {detail map} of {Europe} where {media legend} is {topography of Europe} ?,"SELECT ?obj WHERE { wd:Q46 p:P1621 ?s . ?s ps:P1621 ?obj . ?s pq:P2096 ?x filter(contains(?x,'topography of Europe')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q46> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1621> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P2096> <topography of Europe>
} 
",(E pred F) prop ?value,In the map where is media is legend is topography located in Europe,"SELECT ?obj WHERE { [Europe] [detail map] ?s . ?s [detail map] ?obj . ?s [media legend] ?x filter(contains(?x,'topography of Europe')) }","['[detail map] is map containing details about the entire location', '[media legend] is qualifier to describe the media of the statement. This avoids legend storage in the local infobox when the media is defined at Wikidata. For the date, use P585 instead', '[detail map] is map containing details about the entire location', '[Europe] is continent in the Northern Hemisphere']"
"What is {parent company of} of {State University of New York}, that has {co-ords} is {43.0062 -76.1973} ?",14182,right-subgraph,2838,What is the parent company of New York State University (that has co-ords of -33.1911)?,"SELECT ?answer WHERE { wd:Q1140241 wdt:P355 ?answer . ?answer wdt:P625 ?x FILTER(contains(?x,'43.0062 -76.1973'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1140241> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P355>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P625> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <43.0062 -76.1973> . },E REF ?F . ?F RFG G,What is the parent company of Unused York State College (that has co-ords of -33.1911)?,"SELECT ?answer WHERE { [State University of New York] [has subsidiary] ?answer . ?answer [coordinate location] ?x FILTER(contains(?x,'43.0062 -76.1973'))}","['[coordinate location] is geocoordinates of the subject. For Earth, please note that only WGS84 coordinating system is supported at the moment', '[State University of New York] is public university system in the state of New York, United States', '[has subsidiary] is subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749).']"
Give me {ice hockey tournament} that contains the word {trophy} in their name,23209,string matching simple contains word,2438,WHICH IS THE ICE HOCKEY TOURNAMENT THAT CONTAINS THE WORD TROPHY IN THEIR NAME,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q18325242 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'trophy')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q18325242>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'trophy')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,WHICH IS THE ICE HOCKEY Competition THAT CONTAINS THE WORD TROPHY IN THEIR NAME,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [ice hockey competition] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'trophy')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[ice hockey competition] is sports competition between ice hockey teams', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
"What is {career} of {fishing}, that has {using} is {fishing reel} ?",12184,right-subgraph,50,What career uses a fishing reel?,SELECT ?answer WHERE { wd:Q14373 wdt:P106 ?answer . ?answer wdt:P2283 wd:Q1572168},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q14373> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2283> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1572168> . },E REF ?F . ?F RFG G,What career employments a angling reel?,SELECT ?answer WHERE { [fishing] [occupation] ?answer . ?answer [uses] [fishing reel]},"['[fishing reel] is device attached to a fishing rod used in winding and unwinding fishing line', '[uses] is item or concept used by the subject or in the operation (see also instrument [P1303] and armament [P520])', '[occupation] is occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)', '[fishing] is activity of trying to catch fish']"
Does the {inflation rate} of the {Japan} {equals} {-0.6},18456,boolean with filter,474,Is the inflation rate of Japan equal to -0.6?,ASK WHERE { wd:Q17 wdt:P1279 ?obj filter(?obj = -0.6) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q17> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1279>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = -0.6) },ASK ?sbj ?pred ?obj filter ?obj = num,Is -0.6 equal to the inflation rate of Japan?,ASK WHERE { [Japan] [inflation rate] ?obj filter(?obj = -0.6) } ,"['[inflation rate] is percent change in the consumer price index (CPI)', '[Japan] is island country in East Asia']"
What is the {written work} for {edition or translation of} of {1},20257,simple question right,603,Which is the written work for the first translated edition?, select distinct ?obj where { wd:Q199 wdt:P629 ?obj . ?obj wdt:P31 wd:Q47461344 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q199> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P629> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q47461344> } , <S P ?O ; ?O instanceOf Type>,Which is the composed work for the primary interpreted edition?, select distinct ?obj where { [1] [edition or translation of] ?obj . ?obj [instance of] [written work] } ,"['[edition or translation of] is is an edition or translation of this entity', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[1] is natural number', '[written work] is any work expressed in writing, such as inscriptions, manuscripts, documents or maps']"
"What is {sister} of {Jean Shrimpton}, that has {eyecolor} is {brown} ?",14092,right-subgraph,899,What sister of Jean Shrimpton has brown eyes?,SELECT ?answer WHERE { wd:Q20119 wdt:P3373 ?answer . ?answer wdt:P1340 wd:Q17122705},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q20119> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3373>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1340> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q17122705> . },E REF ?F . ?F RFG G,What sister of Jean Shrimpton has brown eyes?,SELECT ?answer WHERE { [Jean Shrimpton] [sibling] ?answer . ?answer [eye color] [brown]},"[""[eye color] is color of the irises of a person's eyes"", '[brown] is eye color', '[sibling] is the subject and the object have at least one common parent (brother, sister, etc. including half-siblings); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)', '[Jean Shrimpton] is British model and actress']"
