NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
"What is {place of residence} of {Wangari Maathai}, that has {inflation rate of consumer price index} is {2.9} ?",13439,right-subgraph,303,"""What is place of residence of Wangari Maathai,that has inflation rate of consumer price index as 2.9?""","SELECT ?answer WHERE { wd:Q46795 wdt:P551 ?answer . ?answer wdt:P1279 ?x FILTER(contains(?x,'2.9'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q46795> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P551>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1279> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <2.9> . },E REF ?F . ?F RFG G,"""What is region of house of Wangari Maathai,that has inflation charge of client fee index as 2.9?""","SELECT ?answer WHERE { Wangari Muta Maathai residence ?answer . ?answer inflation rate ?x FILTER(contains(?x,'2.9'))}"
What is {child} of {Pompey} that is {mother} is {Mucia Tertia} ?,8905,statement_property,5350,"Who is the child of Pompey and the mother, Mucia Tertia?",SELECT ?obj WHERE { wd:Q125414 p:P40 ?s . ?s ps:P40 ?obj . ?s pq:P25 wd:Q273616 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q125414> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P40> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P25> <http://wikidata.dbpedia.org/resource/Q273616>
} 
",(E pred F) prop ?value,What kid did Pompey and Mucia Tertia have?,SELECT ?obj WHERE { Pompey p:P40 ?s . ?s ps:P40 ?obj . ?s pq:P25 Mucia Tertia }
Give me {alcoholic beverage} that {fabrication method} {fermentation} and which contains the word {rum} in their name,25205,string matching type + relation contains word,2849,"Name an alcoholic beverage that contains the word ""rum "" in its name","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q154 . ?sbj wdt:P2079 wd:Q41760 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'rum')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q154>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2079> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q41760>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'rum')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,"Title an alcoholic refreshment that contains the word ""rum "" in its name","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of alcoholic beverage . ?sbj fabrication method fermentation . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'rum')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
How many {terminus} are to/by {Vienna} ?,1695,statement_property,1039,How many terminus are in Vienna,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P559 wd:Q1741 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P559> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q1741 .
} 
",Count ent (ent-pred-obj),how many vienna in terminus,SELECT (COUNT(?sub) AS ?value ) { ?sub terminus Vienna }
"What is {is in the region of} of {Paroo River}, that has {divides into} is {Ku-ring-gai Council} ?",12780,right-subgraph,2020,"What is in the region of Paroo River, that divides into Ku-ring-gai Council?",SELECT ?answer WHERE { wd:Q1628056 wdt:P131 ?answer . ?answer wdt:P150 wd:Q133642},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1628056> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P131>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P150> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q133642> . },E REF ?F . ?F RFG G,"What is within the locale of Paroo Stream, that isolates into Ku-ring-gai Committee?",SELECT ?answer WHERE { Paroo River located in the administrative territorial entity ?answer . ?answer contains the administrative territorial entity Ku-ring-gai Council}
What is {twinned administrative body} of {Changchun} that is {start time} is {1992-8-25} ?,4587,statement_property,1032,"What has been the ister city of Changchun since Aug 25th, 1992?","SELECT ?obj WHERE { wd:Q92161 p:P190 ?s . ?s ps:P190 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1992')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q92161> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P580> <1992-8-25>
} 
",(E pred F) prop ?value,"Since Aug. 25th, 1992 this has been the ister city of Changchun?","SELECT ?obj WHERE { Changchun p:P190 ?s . ?s ps:P190 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1992')) }"
How many {lakes on river} are to/by {Lake Urmia} ?,2140,statement_property,1484,How many rivers and lakes are connected to Lake Urmia?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P469 wd:Q199551 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P469> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q199551 .
} 
",Count ent (ent-pred-obj),Can you tell me the amount of lakes are rivers attached to Lake Urmia?,SELECT (COUNT(?sub) AS ?value ) { ?sub lake on watercourse Urmia Lake }
Give me {soil type} that contains the word {vertisol} in their name,23684,string matching simple contains word,464,Tell me soil type whose name has the word vertisol in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q10926413 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'vertisol')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q10926413>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'vertisol')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Disclose to me soil type whose name has the word vertisol in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of soil type . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'vertisol')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
What is {award received} of {Justin Timberlake} that is {point in time} is {2007-0-0} ?,6733,statement_property,3178,What is { award received } from { Justin Timberlake } that is { point in time } is { 2007 - 0 - 0 }?,"SELECT ?obj WHERE { wd:Q43432 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q43432> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2007-0-0>
} 
",(E pred F) prop ?value,What is { grant gotten } from { Justin Timberlake } that's { point in time } is { 2007 - - }?,"SELECT ?obj WHERE { Justin Timberlake p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }"
Give me {religious concept} that starts with {'t'},24037,string matching simple contains word,1536,Which religious concept starts with the letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q23847174 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q23847174>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Which devout concept begins with the letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of religious concept . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
Does the {explosive energy equivalent} of the {Father of All Bombs} {less than} {52.8},19621,boolean with filter,1639,Is it true that the explosive energy equivalent of Father of All Bombs is less than 52.8?,ASK WHERE { wd:Q1049487 wdt:P2145 ?obj filter(?obj < 52.8) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1049487> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2145>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 52.8) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the equivalent of the Father of All Bombs explosive energy less than 52.8?,ASK WHERE { Father of All Bombs explosive energy equivalent ?obj filter(?obj < 52.8) } 
Does the {alcohol by volume} of the {Becherovka} {less than} {30.4},19523,boolean with filter,1541,Does the Becherovka alcohol by volume less than 30.4,ASK WHERE { wd:Q742408 wdt:P2665 ?obj filter(?obj < 30.4) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q742408> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2665>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 30.4) },ASK ?sbj ?pred ?obj filter ?obj = num,Does the Becherovka liquor by volume less than 30.4,ASK WHERE { Becherovka alcohol by volume ?obj filter(?obj < 30.4) } 
Give me {prefecture-level city} that contains the word {ürümqi} in their name,23258,string matching simple contains word,1834,What are the prefecture-level city  which start with the letter ürümqi,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q748149 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'ürümqi')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q748149>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'ürümqi')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,What are the prefecture-level metropolis which start with the letter ürümqi,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of prefecture-level city . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'ürümqi')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
Give me {ceremony} that contains the word {umhlanga} in their name,23534,string matching simple contains word,3797,tell me ceremony whose name has the word umhlanga in it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2627975 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'umhlanga')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2627975>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'umhlanga')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Tell me the ceremony in which the word umhlanga is named,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of ceremony . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'umhlanga')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
What is {played by} of {symbol} of {inequality} ?,15974,right-subgraph,5,Which is {played as} of {symbol} of {inequality} ?,SELECT ?answer WHERE { wd:Q28113351 wdt:P913 ?X . ?X wdt:P1535 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q28113351> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P913>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1535> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,Which is {played as} of {image} of {disparity} ?,SELECT ?answer WHERE { inequality notation ?X . ?X used by ?answer}
What is {edition} of {runtime} of {League of Legends} ?,17774,right-subgraph,846,What is edition runtime for League of Legends?,SELECT ?answer WHERE { wd:Q223341 wdt:P400 ?X . ?X wdt:P747 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q223341> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P400>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P747> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What is the League of Legends runtime edition?,SELECT ?answer WHERE { League of Legends platform ?X . ?X has edition or translation ?answer}
What is the {Dutch municipal coat of arms} for {coat of arms} of {Amsterdam},20782,simple question right,1128,What is the name of the Dutch municipal coat of arms of Amsterdam?, select distinct ?obj where { wd:Q727 wdt:P237 ?obj . ?obj wdt:P31 wd:Q28147344 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q727> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P237> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q28147344> } , <S P ?O ; ?O instanceOf Type>,What is the title of the Dutch civil coat of arms of Amsterdam?, select distinct ?obj where { Amsterdam coat of arms ?obj . ?obj instance of Dutch municipal coat of arms } 
How many {depositor} are to/by {United Nations Secretary-General} ?,1682,statement_property,1026,How many depositors are with the {United Nations Secretary-General} ?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P2058 wd:Q81066 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2058> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q81066 .
} 
",Count ent (ent-pred-obj),Who are the depositors with the United Nations Secretary-General?,SELECT (COUNT(?sub) AS ?value ) { ?sub depositary United Nations Secretary-General }
What is {is shown in} of {based upon} of {Clark Kent} ?,16535,left-subgraph,9,Who gave the {is shown in} of {based upon} of {Clark Kent} ?,SELECT ?answer WHERE { wd:Q774772 wdt:P144 ?X . ?X wdt:P1441 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q774772> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P144>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1441> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who gave the {is appeared in} of {based upon} of {Clark Kent} ?,SELECT ?answer WHERE { Clark Kent based on ?X . ?X based on1 ?answer}
How many {direction relative to location} are to/by {west} ?,2414,statement_property,1758,How far west are we?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P654 wd:Q679 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P654> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q679 .
} 
",Count ent (ent-pred-obj),How far to the west are we located?,SELECT (COUNT(?sub) AS ?value ) { ?sub direction relative to location west }
